type/year,Quarter,CIK_old,Name,Type,Date,cik_formatted,file_name,gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,apdedate,fdate,at,ceq,oiadp,sale,exchg,cik,costat,conml,ggroup,gsector,delta_sale,delta_at
sec-10-k/1996,Q1,20,K TRON INTERNATIONAL INC,10-K,1996-03-28,20,sec-10-k/1996_Q1_20_K TRON INTERNATIONAL INC_10-K_1996-03-28,6314,1996-12-31 00:00:00,1996,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,,,55.33,13.194,7.876,89.871,14,20,I,K-Tron International Inc,2010,20,na,na
sec-10-k/1997,Q1,20,K TRON INTERNATIONAL INC,10-K,1997-03-19,20,sec-10-k/1997_Q1_20_K TRON INTERNATIONAL INC_10-K_1997-03-19,6314,1997-12-31 00:00:00,1997,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,,,54.249,18.892,8.442,87.152,14,20,I,K-Tron International Inc,2010,20,-3.0254475859843644,0
sec-10-k/1999,Q1,20,K TRON INTERNATIONAL INC,10-K,1999-03-23,20,sec-10-k/1999_Q1_20_K TRON INTERNATIONAL INC_10-K_1999-03-23,6314,1999-12-31 00:00:00,1999,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,,,54.77,25.21,9.139,87.887,14,20,I,K-Tron International Inc,2010,20,na,na
sec-10-k/2001,Q1,20,K TRON INTERNATIONAL INC,10-K,2001-03-26,20,sec-10-k/2001_Q1_20_K TRON INTERNATIONAL INC_10-K_2001-03-26,6314,2001-12-31 00:00:00,2001,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,,,47.644,21.561,2.685,71.819,14,20,I,K-Tron International Inc,2010,20,na,na
sec-10-k/2003,Q1,20,K TRON INTERNATIONAL INC,10-K,2003-03-27,20,sec-10-k/2003_Q1_20_K TRON INTERNATIONAL INC_10-K_2003-03-27,6314,2003-12-31 00:00:00,2003,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2004/01/03,,83.081,35.114,6.833,94.676,14,20,I,K-Tron International Inc,2010,20,na,na
sec-10-k/2004,Q2,20,K TRON INTERNATIONAL INC,10-K,2004-04-01,20,sec-10-k/2004_Q2_20_K TRON INTERNATIONAL INC_10-K_2004-04-01,6314,2004-12-31 00:00:00,2004,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2005/01/01,,93.016,45.559,9.884,112.494,14,20,I,K-Tron International Inc,2010,20,18.819975495373694,1
sec-10-k/2005,Q1,20,K TRON INTERNATIONAL INC,10-K,2005-03-31,20,sec-10-k/2005_Q1_20_K TRON INTERNATIONAL INC_10-K_2005-03-31,6314,2005-12-31 00:00:00,2005,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2005/12/31,,89.11,49.52,13.217,118.94,14,20,I,K-Tron International Inc,2010,20,5.7300833822248283,0
sec-10-k/2006,Q1,20,K TRON INTERNATIONAL INC,10-K,2006-03-23,20,sec-10-k/2006_Q1_20_K TRON INTERNATIONAL INC_10-K_2006-03-23,6314,2006-12-31 00:00:00,2006,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2006/12/30,2007/04/10,140.996,65.381,20.43,148.127,14,20,I,K-Tron International Inc,2010,20,24.539263494198767,1
sec-10-k/2007,Q1,20,K TRON INTERNATIONAL INC,10-K,2007-03-09,20,sec-10-k/2007_Q1_20_K TRON INTERNATIONAL INC_10-K_2007-03-09,6314,2007-12-31 00:00:00,2007,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2007/12/29,2008/04/08,184.118,93.953,31.878,201.677,14,20,I,K-Tron International Inc,2010,20,36.151410613865131,1
sec-10-k/2008,Q1,20,K TRON INTERNATIONAL INC,10-K,2008-03-12,20,sec-10-k/2008_Q1_20_K TRON INTERNATIONAL INC_10-K_2008-03-12,6314,2008-12-31 00:00:00,2008,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2009/01/03,2009/04/07,199.444,126.052,37.981,243.018,14,20,I,K-Tron International Inc,2010,20,20.498619079022383,1
sec-10-k/2009,Q1,20,K TRON INTERNATIONAL INC,10-K,2009-03-13,20,sec-10-k/2009_Q1_20_K TRON INTERNATIONAL INC_10-K_2009-03-13,6314,2009-12-31 00:00:00,2009,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2010/01/02,2010/04/08,204.236,153.312,29.88,190.774,14,20,I,K-Tron International Inc,2010,20,-21.497996033215646,1
sec-10-k/1994,Q3,1750,AAR CORP,10-K,1994-08-24,1750,sec-10-k/1994_Q3_1750_AAR CORP_10-K_1994-08-24,1004,1994-05-31 00:00:00,1993,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,,,417.626,189.488,21.824,407.754,11,1750,A,AAR Corp,2010,20,na,na
sec-10-k/1995,Q3,1750,AAR CORP,10-K,1995-08-11,1750,sec-10-k/1995_Q3_1750_AAR CORP_10-K_1995-08-11,1004,1995-05-31 00:00:00,1994,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,,,425.814,197.119,24.438,451.395,11,1750,A,AAR Corp,2010,20,10.702776674171183,1
